TransportDeliveryID,RequestID,Day,SupplyingLogNode,TransportType,TransportConfiguration,DeliveredAmount,DeliveredWeight,FuelTypeExpended,FuelAmountExpended,ConvoyProtectionFuelExpended,Distance,Sorties,TransportTimeSpent,SortieDurationPer,Scripted
-519,-739,8,"BSA SUPPLY POINT","Mtruck","Default",52750,50640,"FUEL",306.308035895487,0,51.0513393159145,6,12.1842168869491,2.03070281449152,False
-520,-741,8,"SEA BASE","CH-53K","Default",125000,120000,"FUEL",1707.76966290341,0,20.0129257371493,32,4.65755362610021,0.145548550815632,False
-521,-742,8,"SEA BASE","CH-53K","Default",110000,110000,"FUEL",533.678019657316,0,20.0129257371493,10,1.45548550815632,0.145548550815632,False
-522,-749,9,"OBJ BLUE SUPPLY POINT","Mtruck","Default",274500,219600,"FUEL",1387.21363262205,0,49.5433440222162,28,55.061476130997,1.96648129039275,False
-523,-750,9,"OBJ BLUE SUPPLY POINT","Mtruck","Default",230000,184000,"FUEL",1135.62276014679,0,49.3749026150779,23,44.8416544426151,1.94963714967892,False
-524,-750,9,"OBJ BLUE SUPPLY POINT","Htruck","Default",29250,23400,"FUEL",197.499610460311,0,49.3749026150779,2,4.66012682894629,2.33006341447315,False
-525,-751,9,"OBJ BLUE SUPPLY POINT","Htruck","Default",217948,174358.4,"FUEL",880.825351978214,0,36.7010563324256,12,23.136493692702,1.9280411410585,False
-526,-752,9,"BSA SUPPLY POINT","Mtruck","Default",89280,71424,"FUEL",785.790107709826,0,87.3100119677584,9,31.7146320909892,3.52384801010991,False
-527,-753,9,"BSA SUPPLY POINT","Mtruck","Default",72540,58032,"FUEL",457.739470956096,0,57.217433869512,8,21.1784981588101,2.64731226985126,False
-528,-754,9,"OBJ BLUE SUPPLY POINT","Htruck","Default",79360,63488,"FUEL",267.588161635074,0,26.7588161635074,5,7.52714702700016,1.50542940540003,False
